SIZE	TIPO 1	TIPO 1 - Description	TIPO 2	TIPO 2 - Description	Condicion	Condition - Description	CODE SF	ID	Categoria	Imagenes	Ancho	Alto	Largo	container_description
40	Reefer	Refrigerado	RH	Reefer High Cube	NEW	Nuevo	40RH NEW	106	size > 40PIES; Condition > NEW; general > Reefer > RH	RH40HCNEW	2,43	2,89	12,19	Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
40	Special	Especiales	FR	Flat Rack	CW	Apto para carga 	40FR CW	108	size > 40PIES; Condition > CW; general > Special > FR	FR40HC	2,43	2,59	12,19	Contenedores utilziados para carga dimensionada, donde el alto supera el permitido para los contenedores normales. 
40	Special	Especiales	FR	Flat Rack	ASIS	Almacenaje / Modificarlo y reutilizar	40FR ASIS	109	size > 40PIES; Condition > ASIS; general > Special > FR	FR40_1	2,43	2,59	12,19	Contenedores que pueden usarse para poner mercarderia sobre dimensionada, te recomendamos por la condicion que estan, un contenedor 40 Open Top dentro de nuestra seccion de especiales.Te aportara lo mismo y aun mas proteccion en los laterales.
40	Special	Especiales	FR	Flat Rack	NEW	Nuevo	40FR NEW	110	size > 40PIES; Condition > NEW; general > Special > FR	FR40HC	2,43	2,59	12,19	Contenedores utilziados para carga dimensionada, donde el alto supera el permitido para los contenedores normales. 
40	Special	Especiales	OT	Open Top	CW	Apto para carga 	40OT CW	114	size > 40PIES; Condition > CW; general > Special > OT	OT40_1	2,43	2,59	12,19	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
40	Special	Especiales	OT	Open Top	ASIS	Almacenaje / Modificarlo y reutilizar	40OT ASIS	115	size > 40PIES; Condition > ASIS; general > Special > OT	OT40_1	2,43	2,59	12,19	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
40	Special	Especiales	OT	Open Top	NEW	Nuevo	40OT NEW	116	size > 40PIES; Condition > NEW; general > Special > OT	40OTNEW_1, 40OTNEW_2, 40OTNEW_3, 40OTNEW_4	2,43	2,59	12,19	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
40	Special	Especiales	OT	Open Top	REBUILT	Apto para carga 	40OT REBUILT	117	size > 40PIES; Condition > REBUILT; general > Special > OT	40OTREBUILTCW_1, 40OTREBUILTCW_2, 40OTREBUILTCW_3	2,43	2,59	12,19	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
40	Special	Especiales	TK	Isotank	CW	Apto para carga 	40TK CW	118	size > 40PIES; Condition > CW; general > Special > TK	ISOTANKS	2,43	2,59	12,19	Contenedores para transporte de liquidos o a granel
40	Special	Especiales	TK	Isotank	ASIS	Almacenaje / Modificarlo y reutilizar	40TK ASIS	119	size > 40PIES; Condition > ASIS; general > Special > TK	ISOTANKS	2,43	2,59	12,19	Estos contenedores estan en condicion sin revisar, recomendamos siempre optar por los aptos para carga, que permitiran utilizarlos para exportacion.
40	Special	Especiales	TK	Isotank	NEW	Nuevo	40TK NEW	120	size > 40PIES; Condition > NEW; general > Special > TK	ISOTANKS	2,43	2,59	12,19	Contenedores para transporte de liquidos o a granel
40	Special	Especiales	DC DD	Standard Double Door	NEW	Nuevo	40DC DD NEW	122	size > 40PIES; Condition > NEW; general > Special > DC DD	40DCDDNEW_1, 40DCDDNEW_2, 40DCDDNEW_3, 40DCDDNEW_4	2,43	2,59	12,19	Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Special	Especiales	HC DD	High Cube Double Door	NEW	Nuevo	40HC DD NEW	125	size > 40PIES; Condition > NEW; general > Special > HC DD	DOUBLE-DOOR-OPENING	2,43	2,89	12,19	Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
45	Dry	Seco	DC	Standard	SCRAP	Chatarra	45DC SCRAP	132	size > 45PIES; Condition > SCRAP; general > Dry > DC		2,44	2,69	13,72	contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
45	Dry	Seco	HC	High Cube	CW	Apto para carga 	45HC CW	133	size > 45PIES; Condition > CW; general > Dry > HC	DV45CW	2,44	2,89	13,72	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
45	Dry	Seco	HC	High Cube	ASIS	Almacenaje / Modificarlo y reutilizar	45HC ASIS	134	size > 45PIES; Condition > ASIS; general > Dry > HC	DV45HC_1	2,44	2,89	13,72	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Tambien puedes modificarlo y hacer una casa, oficina o cualquier proyecto modular que te haga ilucion, ayudando al medio ambiente y a ser mas ecofriendly. Los contenedores tiene 15 años de uso y suelen presentar una estetica deteriorada, por su relacion, calidad - precio, es lo que que recomendamos para nuestros clientes.
45	Dry	Seco	HC	High Cube	NEW	Nuevo	45HC NEW	135	size > 45PIES; Condition > NEW; general > Dry > HC	DV45HC	2,44	2,89	13,72	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
45	Dry	Seco	HC	High Cube	IICL	IICL	45HC IICL	137	size > 45PIES; Condition > IICL; general > Dry > HC	DV45HC_1	2,44	2,89	13,72	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
45	Dry	Seco	HC PW	High Cube Palletwide	CW	Apto para carga 	45HC PW CW	139	size > 45PIES; Condition > CW; general > Dry > HC PW	PW45CW	2,44	2,89	13,72	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
45	Dry	Seco	HC PW	High Cube Palletwide	ASIS	Almacenaje / Modificarlo y reutilizar	45HC PW ASIS	140	size > 45PIES; Condition > ASIS; general > Dry > HC PW	PW45HC	2,44	2,89	13,72	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Tambien puedes modificarlo y hacer una casa, oficina o cualquier proyecto modular que te haga ilucion, ayudando al medio ambiente y a ser mas ecofriendly. Los contenedores tiene 15 años de uso y suelen presentar una estetica deteriorada, por su relacion, calidad - precio, es lo que que recomendamos para nuestros clientes.
45	Dry	Seco	HC PW	High Cube Palletwide	NEW	Nuevo	45HC PW NEW	141	size > 45PIES; Condition > NEW; general > Dry > HC PW	PW45HC	2,44	2,89	13,72	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
45	Dry	Seco	HC PW	High Cube Palletwide	IICL	IICL	45HC PW IICL	143	size > 45PIES; Condition > IICL; general > Dry > HC PW	PW45HC_1	2,44	2,89	13,72	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
45	Dry	Seco	HC PW	High Cube Palletwide	SCRAP	Chatarra	45HC PW SCRAP	144	size > 45PIES; Condition > SCRAP; general > Dry > HC PW		2,44	2,89	13,72	contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
